,Unnamed: 0,TimeStamp,GameType,BigBlind,Table,Date,PlayerCount,TotalPot,Dealer,Board,Ante,1on1
0,1,3036555098,HoldemNoLimit,1,KALAMAZOO,"2009-07-0617:51:43(ET)
",6,25.5,6,"['4d', '10s', '6s', 'Qs', 'Qc']",False,False
1,2,3036569102,HoldemNoLimit,1,MEXICO HWY,"2009-07-0617:51:43(ET)
",6,1.5,2,,False,False
2,3,3036555394,HoldemNoLimit,1,GERMANY HWY,"2009-07-0617:51:49(ET)
",9,29.5,5,"['8h', '2c', 'Jc', '4d']",False,False
3,4,3036569838,HoldemNoLimit,1,MEXICO HWY,"2009-07-0617:51:52(ET)
",6,16.5,3,"['Ah', 'Qs', '7c', 'Qd', '7s']",False,False
4,5,3036566896,HoldemNoLimit,1,BRADBURN RD,"2009-07-0617:51:52(ET)
",4,6.0,4,"['9c', 'Kh', 'Kd']",False,False
5,6,3036573254,HoldemNoLimit,1,POLLY DR,"2009-07-0617:51:54(ET)
",2,2.0,6,,False,True
6,7,3036573654,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:52:00(ET)
",2,2.0,4,"['10c', '8s', 'Qd', 'Ks', '3d']",False,True
7,8,3036573712,HoldemNoLimit,1,POLLY DR,"2009-07-0617:52:00(ET)
",2,2.0,4,,False,True
8,9,3036556222,HoldemNoLimit,1,CHESAPEAKE,"2009-07-0617:52:05(ET)
",6,2.5,5,,False,False
9,10,3036574148,HoldemNoLimit,1,POLLY DR,"2009-07-0617:52:08(ET)
",2,1.5,6,,False,True
10,11,3036574540,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:52:13(ET)
",2,2.0,6,,False,True
11,12,3036574536,HoldemNoLimit,1,POLLY DR,"2009-07-0617:52:13(ET)
",2,4.0,4,,False,True
12,13,3036556902,HoldemNoLimit,1,KALAMAZOO,"2009-07-0617:52:18(ET)
",6,20.0,1,"['5c', '5h', '7s']",False,False
13,14,3036568634,HoldemNoLimit,1,BRADBURN RD,"2009-07-0617:52:21(ET)
",5,1.5,5,,False,False
14,15,3036557306,HoldemNoLimit,1,CHESAPEAKE,"2009-07-0617:52:23(ET)
",6,2.5,6,,False,False
15,16,3036575118,HoldemNoLimit,1,POLLY DR,"2009-07-0617:52:23(ET)
",2,2.0,6,,False,True
16,17,3036575164,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:52:24(ET)
",2,1.5,4,,False,True
17,18,3036575562,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:52:30(ET)
",2,14.0,6,"['5d', '6d', 'Kd', 'Ks', '9h']",False,True
18,19,3036575644,HoldemNoLimit,1,POLLY DR,"2009-07-0617:52:30(ET)
",2,4.0,4,,False,True
19,20,3036569790,HoldemNoLimit,1,BRADBURN RD,"2009-07-0617:52:35(ET)
",5,3.5,6,,False,False
20,21,3036576152,HoldemNoLimit,1,POLLY DR,"2009-07-0617:52:39(ET)
",2,2.0,6,,False,True
21,22,3036576624,HoldemNoLimit,1,POLLY DR,"2009-07-0617:52:45(ET)
",2,12.0,4,"['4s', '8c', '4d', 'Kh']",False,True
22,23,3036576738,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:52:47(ET)
",2,2.0,4,,False,True
23,24,3036558560,HoldemNoLimit,1,KALAMAZOO,"2009-07-0617:52:47(ET)
",6,72.7,2,"['5h', '7c', '3h', '6h', '8d']",False,False
24,25,3036573602,HoldemNoLimit,1,MEXICO HWY,"2009-07-0617:52:47(ET)
",6,6.5,4,"['7d', 'Jd', 'As', '6s']",False,False
25,26,3036558684,HoldemNoLimit,1,CHESAPEAKE,"2009-07-0617:52:49(ET)
",6,2.5,1,,False,False
26,27,3036570720,HoldemNoLimit,1,BRADBURN RD,"2009-07-0617:52:50(ET)
",6,10.5,1,"['2c', 'Ah', 'Qh']",False,False
27,28,3036577268,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:52:58(ET)
",2,2.0,6,,False,True
28,29,3036559302,HoldemNoLimit,1,RAKOF AVE,"2009-07-0617:53:01(ET)
",6,2.5,1,,False,False
29,30,3036577716,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:53:03(ET)
",2,1.5,4,,False,True
30,31,3036559648,HoldemNoLimit,1,SANFORD ST,"2009-07-0617:53:06(ET)
",9,9.5,8,"['Ac', '6d', '4h', '8d']",False,False
31,32,3036577902,HoldemNoLimit,1,POLLY DR,"2009-07-0617:53:07(ET)
",2,6.0,6,"['2h', '6s', '9h']",False,True
32,33,3036578068,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:53:10(ET)
",2,11.0,6,"['Jh', '4h', '8c', '5c']",False,True
33,34,3036560136,HoldemNoLimit,1,GERMANY HWY,"2009-07-0617:53:13(ET)
",9,2.5,6,,False,False
34,35,3036572282,HoldemNoLimit,1,PEARL DR,"2009-07-0617:53:14(ET)
",9,4.5,4,"['10h', '4s', '5d', 'Qd', 'Kh']",False,False
35,36,3036560256,HoldemNoLimit,1,RAKOF AVE,"2009-07-0617:53:15(ET)
",6,13.0,2,"['9d', '9c', '4h']",False,False
36,37,3036560230,HoldemNoLimit,1,CHESAPEAKE,"2009-07-0617:53:16(ET)
",6,2.0,2,,False,False
37,38,3036572596,HoldemNoLimit,1,BRADBURN RD,"2009-07-0617:53:19(ET)
",6,10.5,2,"['Ad', 'Js', '4h', 'Jh', '4c']",False,False
38,39,3036576014,HoldemNoLimit,1,MEXICO HWY,"2009-07-0617:53:20(ET)
",6,2.0,5,"['5c', '3s', '6h', '2c', '2d']",False,False
39,40,3036578786,HoldemNoLimit,1,POLLY DR,"2009-07-0617:53:20(ET)
",2,30.0,4,"['6s', 'Jh', '5h']",False,True
40,41,3036579162,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:53:26(ET)
",2,2.0,4,"['4h', '10h', '10d', '4d', '3h']",False,True
41,42,3036579852,HoldemNoLimit,1,POLLY DR,"2009-07-0617:53:37(ET)
",2,2.0,6,,False,True
42,43,3036580306,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:53:44(ET)
",2,2.0,6,,False,True
43,44,3036561820,HoldemNoLimit,1,KALAMAZOO,"2009-07-0617:53:44(ET)
",5,7.0,3,"['6h', '5h', '4d', 'Ah', 'Ac']",False,False
44,45,3036577720,HoldemNoLimit,1,MEXICO HWY,"2009-07-0617:53:45(ET)
",6,2.0,6,"['Kc', '7c', 'Ad']",False,False
45,46,3036561940,HoldemNoLimit,1,CHESAPEAKE,"2009-07-0617:53:46(ET)
",6,1.5,3,,False,False
46,47,3036580462,HoldemNoLimit,1,POLLY DR,"2009-07-0617:53:46(ET)
",2,32.0,4,"['Ks', 'Qh', '3h']",False,True
47,48,3036562302,HoldemNoLimit,1,SANFORD ST,"2009-07-0617:53:47(ET)
",9,14.5,9,"['8d', '6s', '10']",False,False
48,49,3036580744,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:53:51(ET)
",2,2.0,4,"['5s', '5d', '8c']",False,True
49,50,3036562778,HoldemNoLimit,1,RAKOF AVE,"2009-07-0617:53:54(ET)
",6,10.5,3,"['Qc', '6s', '10']",False,False
50,51,3036562504,HoldemNoLimit,1,GERMANY HWY,"2009-07-0617:53:56(ET)
",9,3.5,7,,False,False
51,52,3036575268,HoldemNoLimit,1,PEARL DR,"2009-07-0617:53:59(ET)
",9,17.5,5,"['2h', 'Kc', 'Qs', '7d', '3d']",False,False
52,53,3036575356,HoldemNoLimit,1,BRADBURN RD,"2009-07-0617:54:01(ET)
",6,17.5,3,"['9h', 'Qd', 'Kc']",False,False
53,54,3036562688,HoldemNoLimit,1,CHESAPEAKE,"2009-07-0617:54:02(ET)
",6,8.0,4,"['Kh', '4c', '4s', '2c']",False,False
54,55,3036581488,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:54:02(ET)
",2,1.5,6,,False,True
55,56,3036581540,HoldemNoLimit,1,POLLY DR,"2009-07-0617:54:03(ET)
",2,2.0,6,,False,True
56,57,3036581816,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:54:08(ET)
",2,6.0,4,"['6h', '4h', '8s', '3h', '8d']",False,True
57,58,3036581948,HoldemNoLimit,1,POLLY DR,"2009-07-0617:54:10(ET)
",2,2.0,4,,False,True
58,59,3036564162,HoldemNoLimit,1,GRAM DR,"2009-07-0617:54:13(ET)
",8,2.0,7,"['3s', '4h', '2d']",False,False
59,60,3036579556,HoldemNoLimit,1,MEXICO HWY,"2009-07-0617:54:13(ET)
",6,4.0,1,,False,False
60,61,3036564522,HoldemNoLimit,1,SANFORD ST,"2009-07-0617:54:18(ET)
",9,7.5,1,"['Kd', '5d', '7h']",False,False
61,62,3036582334,HoldemNoLimit,1,POLLY DR,"2009-07-0617:54:18(ET)
",2,1.5,6,,False,True
62,63,3036582696,HoldemNoLimit,1,POLLY DR,"2009-07-0617:54:24(ET)
",2,2.0,4,,False,True
63,64,3036583126,HoldemNoLimit,1,POLLY DR,"2009-07-0617:54:30(ET)
",2,6.0,6,"['Qs', '2h', '7h']",False,True
64,65,3036564388,HoldemNoLimit,1,GERMANY HWY,"2009-07-0617:54:30(ET)
",9,4.5,8,"['3s', 'Kd', '9d']",False,False
65,66,3036565698,HoldemNoLimit,1,RAKOF AVE,"2009-07-0617:54:33(ET)
",6,2.0,4,,False,False
66,67,3036581346,HoldemNoLimit,1,MEXICO HWY,"2009-07-0617:54:38(ET)
",6,2.5,2,,False,False
67,68,3036565194,HoldemNoLimit,1,KALAMAZOO,"2009-07-0617:54:41(ET)
",5,6.0,4,"['5s', '2c', 'Qs']",False,False
68,69,3036566326,HoldemNoLimit,1,SANFORD ST,"2009-07-0617:54:41(ET)
",9,18.5,2,"['10s', 'Qs', '5s', 'Js', '9c']",False,False
69,70,3036584072,HoldemNoLimit,1,POLLY DR,"2009-07-0617:54:45(ET)
",2,2.0,4,,False,True
70,71,3036566616,HoldemNoLimit,1,RAKOF AVE,"2009-07-0617:54:46(ET)
",6,2.0,5,"['4c', '4h', '7s', '2c', '10']",False,False
71,72,3036584324,HoldemNoLimit,1,CHELSEA WAY,"2009-07-0617:54:48(ET)
",2,24.0,6,"['3h', '9c', '6d', '3s', 'Jh']",False,True
72,73,3036584490,HoldemNoLimit,1,POLLY DR,"2009-07-0617:54:50(ET)
",2,2.0,6,,False,True
73,74,3036582336,HoldemNoLimit,1,MEXICO HWY,"2009-07-0617:54:55(ET)
",6,56.5,3,"['Js', '7s', '2h', '4c']",False,False
74,75,3036567336,HoldemNoLimit,1,GRAM DR,"2009-07-0617:54:56(ET)
",8,2.5,8,,False,False
75,76,3036584980,HoldemNoLimit,1,POLLY DR,"2009-07-0617:54:58(ET)
",2,2.0,4,,False,True
76,77,3036566384,HoldemNoLimit,1,KALAMAZOO,"2009-07-0617:55:03(ET)
",5,10.0,5,"['8s', 'Qh', '7h', '3s', '2d']",False,False
77,78,3036585432,HoldemNoLimit,1,POLLY DR,"2009-07-0617:55:05(ET)
",2,2.0,6,,False,True
78,79,3036568326,HoldemNoLimit,1,RAKOF AVE,"2009-07-0617:55:12(ET)
",6,2.0,6,"['Qc', '2d', 'Ks', '2h']",False,False
